,Player,Team,Pos,Receptions,ReceivingYds,ReceivingTD,FL,RushingAtt,RushingYds,RushingTD,PassingAtt,PassingCmp,PassingYds,PassingTD,Int
59,Geno Smith,SEA,QB,0,0,0,0.2,1.3,2.5,0,17.4,11,121.9,0.9,0.3
60,Brandon Allen,CIN,QB,0,0,0,0.1,1.3,5.1,0,20.9,13.2,143.5,0.6,0.5
130,Ty Montgomery,NO,RB,3.4,23.9,0,0,14.5,51,0,0,0,0,0,0
171,Lil'Jordan Humphrey,NO,WR,4.2,54.7,0.3,0,0,0,0,0,0,0,0,0
61,Jordan Love,GB,QB,0,0,0,0.1,0.7,3.1,0,15.5,9.6,107.7,0.9,0.3
172,Diontae Spencer,DEN,WR,3.6,40.2,0.2,0,2.4,13.6,0.1,0,0,0,0,0
62,Chase Daniel,LAC,QB,0,0,0,0.1,1.5,5.8,0,18.3,11.6,131,0.6,0.5
104,Colby Parkinson,SEA,TE,4.2,44,0.5,0,0,0,0,0,0,0,0,0
63,Ian Book,NO,QB,0,0,0,0,1,4,0,17,12,118,1,1
105,Josh Oliver,BAL,TE,4.3,44.2,0.4,0,0,0,0,0,0,0,0,0
131,Andrew Beck,DEN,RB,4.1,28.1,0.2,0,4.9,21.2,0.2,0,0,0,0,0
132,Alex Armah,NO,RB,4,33.2,0.2,0.1,4.2,17.4,0.2,0,0,0,0,0
106,Josiah Deguara,GB,TE,4.3,47.1,0.4,0.1,0,0,0,0,0,0,0,0
173,Cornell Powell,KC,WR,3.8,48.5,0.3,0,0,0,0,0,0,0,0,0
176,Ihmir Smith-Marsette,MIN,WR,4.6,60.7,0.1,0,0,0,0,0,0,0,0,0
175,Victor Bolden Jr.,DET,WR,4.6,52.1,0.3,0,0,0,0,0,0,0,0,0
174,Simi Fehoko,DAL,WR,3.9,50.6,0.3,0,0,0,0,0,0,0,0,0
177,Tylan Wallace,BAL,WR,3.5,45.7,0.3,0,0,0,0,0,0,0,0,0
178,Isaiah Hodgins,BUF,WR,3.7,46.9,0.3,0,0,0,0,0,0,0,0,0
133,Buddy Howell,HOU,RB,4.1,28.8,0.2,0,4.1,17.5,0.2,0,0,0,0,0
64,Chris Streveler,ARI,QB,0,0,0,0.2,1.6,6.7,0.1,15.9,9.4,105.5,0.6,0.5
179,Jaelon Darden,TB,WR,4.2,48,0.3,0,0,0,0,0,0,0,0,0
134,Alfred Morris,NYG,RB,1.5,10.4,0,0.1,9.1,37.8,0.3,0,0,0,0,0
65,Tyler Huntley,BAL,QB,0,0,0,0,3,16,0,9.5,6,67.5,0.5,0
66,Blaine Gabbert,TB,QB,0,0,0,0,1.3,5.3,0,16,9.7,110,0.3,0
182,Greg Dortch,ARI,WR,4.1,46.9,0.3,0,0,0,0,0,0,0,0,0
181,Quez Watkins,PHI,WR,3.7,48.9,0.2,0,0,0,0,0,0,0,0,0
180,Marcus Johnson,TEN,WR,3.6,43.6,0.3,0,0,0,0,0,0,0,0,0
107,Ben Ellefson,JAC,TE,4.2,41.9,0.3,0,0,0,0,0,0,0,0,0
108,Demetrius Harris,ARI,TE,3.8,39.2,0.4,0,0,0,0,0,0,0,0,0
67,AJ McCarron,ATL,QB,0,0,0,0.2,0.5,2.2,0,15.6,9.9,111.1,0.6,0.4
183,Riley Ridley,CHI,WR,3.8,45.4,0.3,0,0,0,0,0,0,0,0,0
184,Trent Sherfield,SF,WR,3.5,45.5,0.3,0,0,0,0,0,0,0,0,0
68,Matt Barkley,TEN,QB,0,0,0,0.2,0.4,1.4,0,13.3,8.4,98.3,0.7,0.3
109,Luke Stocker,TEN,TE,3.9,37.8,0.4,0.1,0,0,0,0,0,0,0,0
135,Nick Bellore,SEA,RB,4.4,31.5,0.3,0,1.5,6.7,0,0,0,0,0,0
185,Jakeem Grant Sr.,MIA,WR,3.2,35.1,0.2,0,1.5,8.4,0,0,0,0,0,0
136,Gabe Nabers,LAC,RB,3.2,25,0.2,0.1,3.3,14.4,0.1,0,0,0,0,0
187,Gunner Olszewski,NE,WR,2.8,33.8,0.2,0,1.8,9.7,0.1,0,0,0,0,0
69,Mike Glennon,NYG,QB,0,0,0,0.6,1.2,5.6,0,18.6,11.7,124.7,0.6,0.4
186,Chester Rogers,TEN,WR,3.9,38,0.3,0,0,0,0,0,0,0,0,0
70,David Blough,DET,QB,0,0,0,0.2,0.6,2.5,0,15.5,9.4,105.4,0.5,0.4
137,Keith Smith,ATL,RB,3.4,26.1,0.2,0.1,3.2,13.7,0.1,0,0,0,0,0
188,Zay Jones,LV,WR,3.3,37.3,0.3,0,0,0,0,0,0,0,0,0
189,Trent Taylor,CIN,WR,3.9,40,0.2,0,0,0,0,0,0,0,0,0
190,Dazz Newsome,CHI,WR,3.3,42.6,0.2,0,0,0,0,0,0,0,0,0
138,Kalen Ballage,PIT,RB,1.8,11.7,0,0.1,7,27.8,0.2,0,0,0,0,0
71,Colt McCoy,ARI,QB,0,0,0,0,1.5,8,0,12,8,84.5,0.5,0.5
110,Mason Schreck,CIN,TE,3.5,36.4,0.3,0,0,0,0,0,0,0,0,0
111,Alize Mack,DET,TE,4.1,39.4,0.2,0,0,0,0,0,0,0,0,0
139,Antonio Williams,BUF,RB,0.3,2.8,0,0,9,37.4,0.2,0,0,0,0,0
112,Tyree Jackson,PHI,TE,3.5,36.2,0.2,0,0,0,0,0,0,0,0,0
72,Dwayne Haskins,PIT,QB,0,0,0,0,1.5,5,0,14,8.5,84.5,0.5,0.5
140,Andy Janovich,CLE,RB,3.9,32.6,0.2,0,1,4.3,0,0,0,0,0,0
141,Darwin Thompson,KC,RB,1.8,13.8,0,0,6.6,26.1,0.1,0,0,0,0,0
142,Trenton Cannon,CAR,RB,2.5,19.2,0.1,0,4.1,17,0.1,0,0,0,0,0
73,Logan Woodside,TEN,QB,0,0,0,0,2.5,7,0,6,4,45,0.5,0
143,Derek Watt,PIT,RB,1.7,12.2,0.1,0,4.3,18.1,0.2,0,0,0,0,0
74,Case Keenum,CLE,QB,0,0,0,0.6,0.9,3.6,0,13,8.1,92.2,0.6,0.4
191,Marcus Kemp,KC,WR,2.4,30.5,0.2,0,0,0,0,0,0,0,0,0
144,Ben Mason,BAL,RB,3.5,27.7,0.2,0,0,0,0,0,0,0,0,0
147,J.J. Taylor,NE,RB,2.3,17.8,0.1,0,2.8,12.1,0.1,0,0,0,0,0
145,Michael Burton,KC,RB,1.8,14.8,0.1,0,3.3,14,0.1,0,0,0,0,0
146,Josh Adams,NYJ,RB,0.9,6,0,0,5.2,22.5,0.2,0,0,0,0,0
192,Devin Funchess,GB,WR,2,26,0.2,0,0,0,0,0,0,0,0,0
113,Dominique Dafney,GB,TE,2.4,25.7,0.2,0,0,0,0,0,0,0,0,0
114,Lee Smith,ATL,TE,2.6,25,0.2,0,0,0,0,0,0,0,0,0
115,Sean McKeon,DAL,TE,2.6,26.7,0.2,0,0,0,0,0,0,0,0,0
194,Kawaan Baker,NO,WR,1.9,25.8,0.1,0,0,0,0,0,0,0,0,0
193,Isaac Whitney,ARI,WR,2.1,24.1,0.2,0,0,0,0,0,0,0,0,0
116,Jordan Franks,CLE,TE,2.1,23.5,0.2,0,0,0,0,0,0,0,0,0
196,Terry Godwin,JAC,WR,2,22.5,0.2,0,0,0,0,0,0,0,0,0
195,Justin Watson,TB,WR,1.9,23.3,0.2,0,0,0,0,0,0,0,0,0
198,Brandon Powell,BUF,WR,2,21.8,0.2,0,0,0,0,0,0,0,0,0
75,Jarrett Stidham,NE,QB,0,0,0,0,1.5,3,0,7,4.5,47.5,0.5,0.5
197,J.J. Arcega-Whiteside,PHI,WR,1.6,23.3,0.2,0,0,0,0,0,0,0,0,0
148,Corey Clement,NYG,RB,0.5,3.6,0,0,4.2,17.7,0.2,0,0,0,0,0
117,Trevon Wesco,NYJ,TE,2.3,24.3,0.1,0,0,0,0,0,0,0,0,0
119,Eric Saubert,DEN,TE,2.3,22.7,0.1,0,0,0,0,0,0,0,0,0
118,Cethan Carter,MIA,TE,2.5,24.2,0.1,0,0,0,0,0,0,0,0,0
120,Kaden Smith,NYG,TE,2.5,22.1,0.1,0,0,0,0,0,0,0,0,0
150,Devine Ozigbo,JAC,RB,1.5,11.6,0,0,2.9,12.3,0.1,0,0,0,0,0
149,Dexter Williams,GB,RB,0.4,3.1,0,0,4.4,18.6,0.2,0,0,0,0,0
199,K.J. Hill Jr.,LAC,WR,1.4,16.7,0.1,0,1,6.2,0,0,0,0,0,0
200,Braxton Berrios,NYJ,WR,1.5,17.4,0.1,0,1,5.8,0,0,0,0,0,0
152,Elijhaa Penny,NYG,RB,1.5,10.9,0,0,2.5,10.3,0.1,0,0,0,0,0
151,Dwayne Washington,NO,RB,1.5,11.6,0,0,2.6,10.9,0.1,0,0,0,0,0
201,Allen Hurns,MIA,WR,1.6,16.7,0.2,0,0,0,0,0,0,0,0,0
121,Ricky Seals-Jones,WAS,TE,1.5,18.3,0.2,0,0,0,0,0,0,0,0,0
203,Mike Strachan,IND,WR,1.6,20.5,0.1,0,0,0,0,0,0,0,0,0
153,Khari Blasingame,TEN,RB,2.3,19.4,0.1,0,0.5,2.1,0,0,0,0,0,0
205,Equanimeous St. Brown,GB,WR,1.3,17.1,0.2,0,0,0,0,0,0,0,0,0
204,Dezmon Patmon,IND,WR,1.6,20.5,0.1,0,0,0,0,0,0,0,0,0
206,Travis Benjamin,SF,WR,1.2,17.3,0.2,0,0,0,0,0,0,0,0,0
202,Racey McMath,TEN,WR,1.5,19.3,0.1,0,0,0,0,0,0,0,0,0
207,Seth Williams,DEN,WR,1.7,20.3,0.1,0,0,0,0,0,0,0,0,0
122,Zach Davidson,MIN,TE,1.7,17.6,0.1,0,0,0,0,0,0,0,0,0
123,Tanner Hudson,TB,TE,1.5,15.7,0.2,0,0,0,0,0,0,0,0,0
208,Malik Taylor,GB,WR,1.2,13.8,0.2,0,0,0,0,0,0,0,0,0
209,Malcolm Perry,MIA,WR,0.9,9.1,0,0,1.8,9.4,0.1,0,0,0,0,0
154,Jakob Johnson,NE,RB,2.2,18.9,0.1,0,0,0,0,0,0,0,0,0
76,Nick Mullens,PHI,QB,0,0,0,1,2,4,0,12,6.5,70,0.5,0.5
125,Brandon Dillon,MIN,TE,1.3,13.8,0.1,0,0,0,0,0,0,0,0,0
124,Temarrick Hemingway,WAS,TE,1.4,16.1,0.1,0,0,0,0,0,0,0,0,0
210,Kendall Hinton,DEN,WR,1.1,12.1,0,0,1.2,6.4,0,0,0,0,0,0
155,Dare Ogunbowale,JAC,RB,1.4,9.4,0,0,2.1,8.9,0,0,0,0,0,0
212,Isaiah Ford,MIA,WR,1.6,15,0.1,0,0,0,0,0,0,0,0,0
211,Brandon Zylstra,CAR,WR,1.2,15.2,0.1,0,0,0,0,0,0,0,0,0
156,Jonathan Williams,WAS,RB,0.9,7,0,0,2.3,9.8,0,0,0,0,0,0
127,Matt LaCosse,NE,TE,1.2,12.8,0.1,0,0,0,0,0,0,0,0,0
126,Eric Tomlinson,BAL,TE,1.2,11.7,0.1,0,0,0,0,0,0,0,0,0
128,Codey McElroy,TB,TE,0.9,8.6,0.1,0,0,0,0,0,0,0,0,0
213,Joe Reed,LAC,WR,0.8,9.4,0,0,0.9,4.8,0,0,0,0,0,0
214,Matt Cole,NYG,WR,0.9,9.5,0,0,0.9,4.3,0,0,0,0,0,0
215,DeMichael Harris,IND,WR,0.7,8.1,0,0,0.9,4.7,0,0,0,0,0,0
157,Dontrell Hilliard,HOU,RB,0.9,6.4,0,0,1.7,7.1,0,0,0,0,0,0
158,Patrick Laird,MIA,RB,0.9,5.5,0,0,1.5,6.4,0,0,0,0,0,0
159,Taiwan Jones,BUF,RB,0.9,7,0,0,1.1,4.7,0,0,0,0,0,0
218,Damion Ratley,DET,WR,1,11.6,0,0,0,0,0,0,0,0,0,0
216,Trey Quinn,LV,WR,1.2,12.3,0,0,0,0,0,0,0,0,0,0
217,Antonio Callaway,KC,WR,0.9,11.1,0,0,0,0,0,0,0,0,0,0
219,Malik Turner,DAL,WR,0.9,10.6,0,0,0,0,0,0,0,0,0,0
161,C.J. Prosise,TB,RB,1,7,0,0,0.9,3.6,0,0,0,0,0,0
220,Kelvin Harmon,WAS,WR,0.8,10.6,0,0,0,0,0,0,0,0,0,0
160,Elijah McGuire,KC,RB,0.9,7.2,0,0,0.9,3.5,0,0,0,0,0,0
129,Isaac Nauta,GB,TE,0.8,8.3,0.1,0,0,0,0,0,0,0,0,0
130,Kevin Rader,PIT,TE,0.9,8.7,0,0,0,0,0,0,0,0,0,0
131,Garrett Griffin,NO,TE,0.8,8.8,0,0,0,0,0,0,0,0,0,0
165,Jason Huntley,PHI,RB,0.9,6.1,0,0,0.9,3.9,0,0,0,0,0,0
225,Isaiah Wright,WAS,WR,0.9,9.6,0,0,0,0,0,0,0,0,0,0
171,Scottie Phillips,HOU,RB,0.9,6,0,0,0.8,3.5,0,0,0,0,0,0
170,Jason Cabinda,DET,RB,1,6.1,0,0,0.8,3.5,0,0,0,0,0,0
169,Damarea Crockett,DEN,RB,0.9,5.5,0,0,1,4.2,0,0,0,0,0,0
168,Nathan Cottrell,JAC,RB,0.9,6.2,0,0,0.9,3.6,0,0,0,0,0,0
167,Austin Walter,NYJ,RB,0.9,6.3,0,0,0.9,3.6,0,0,0,0,0,0
166,LeVante Bellamy,DEN,RB,0.9,5.5,0,0,1,4.4,0,0,0,0,0,0
163,Artavis Pierce,CHI,RB,0.9,6.2,0,0,0.9,3.9,0,0,0,0,0,0
164,Adrian Killins Jr.,DEN,RB,0.9,6.1,0,0,0.9,3.9,0,0,0,0,0,0
162,Ryan Nall,CHI,RB,0.9,6.3,0,0,0.9,3.9,0,0,0,0,0,0
132,Tyrone Swoopes,WAS,TE,0.9,9.6,0,0,0,0,0,0,0,0,0,0
226,Jason Moore,LAC,WR,0.8,9.5,0,0,0,0,0,0,0,0,0,0
221,DeAndre Carter,WAS,WR,0.9,10.4,0,0,0,0,0,0,0,0,0,0
222,Vyncint Smith,NYJ,WR,0.9,10.1,0,0,0,0,0,0,0,0,0,0
223,John Hightower,PHI,WR,0.7,9.8,0,0,0,0,0,0,0,0,0,0
224,Gehrig Dieter,KC,WR,0.9,9.7,0,0,0,0,0,0,0,0,0,0
227,Nsimba Webster,SF,WR,0.9,9.5,0,0,0,0,0,0,0,0,0,0
233,Keelan Doss,LV,WR,0.8,9.3,0,0,0,0,0,0,0,0,0,0
249,Derrick Willies,CLE,WR,0.7,8.6,0,0,0,0,0,0,0,0,0,0
239,Cyril Grayson Jr.,TB,WR,0.9,9,0,0,0,0,0,0,0,0,0,0
174,Cullen Gillaspia,NYG,RB,0.9,5.2,0,0,0.9,3.7,0,0,0,0,0,0
250,Alexander Hollins,CLE,WR,0.7,8.5,0,0,0,0,0,0,0,0,0,0
248,K.J. Osborn,MIN,WR,0.7,8.7,0,0,0,0,0,0,0,0,0,0
134,Deon Yelder,TEN,TE,0.8,7.3,0,0,0,0,0,0,0,0,0,0
133,MyCole Pruitt,SF,TE,0.9,8.3,0,0,0,0,0,0,0,0,0,0
246,Robert Foster,MIA,WR,0.7,8.7,0,0,0,0,0,0,0,0,0,0
245,KhaDarel Hodge,CLE,WR,0.7,8.8,0,0,0,0,0,0,0,0,0,0
244,Chad Williams,KC,WR,0.8,8.8,0,0,0,0,0,0,0,0,0,0
247,Dan Chisena,MIN,WR,0.7,8.7,0,0,0,0,0,0,0,0,0,0
242,Darvin Kidsy,SEA,WR,0.8,9,0,0,0,0,0,0,0,0,0,0
241,Stanley Morgan Jr.,CIN,WR,0.8,9,0,0,0,0,0,0,0,0,0,0
240,John Ursua,SEA,WR,0.8,9,0,0,0,0,0,0,0,0,0,0
243,Marvin Hall,NE,WR,0.7,8.9,0,0,0,0,0,0,0,0,0,0
238,Lawrence Cager,NYJ,WR,0.8,9,0,0,0,0,0,0,0,0,0,0
230,Jake Lampman,NO,WR,0.7,9.4,0,0,0,0,0,0,0,0,0,0
173,Taquan Mizzell,NYG,RB,0.9,5.3,0,0,0.9,3.7,0,0,0,0,0,0
237,Marcell Ateman,LV,WR,0.7,9.1,0,0,0,0,0,0,0,0,0,0
228,Darrius Shepherd,KC,WR,0.9,9.5,0,0,0,0,0,0,0,0,0,0
229,Josh Malone,NYJ,WR,0.9,9.4,0,0,0,0,0,0,0,0,0,0
172,Jordan Scarlett,MIA,RB,0.9,5.3,0,0,0.9,3.9,0,0,0,0,0,0
231,Jeff Badet,ATL,WR,0.9,9.3,0,0,0,0,0,0,0,0,0,0
232,Chris Rowland,ATL,WR,0.9,9.3,0,0,0,0,0,0,0,0,0,0
234,Chad Hansen,DET,WR,0.9,9.2,0,0,0,0,0,0,0,0,0,0
235,Trenton Irwin,CIN,WR,0.8,9.2,0,0,0,0,0,0,0,0,0,0
236,Tanner Gentry,BUF,WR,0.8,9.2,0,0,0,0,0,0,0,0,0,0
251,Laquon Treadwell,JAC,WR,0.8,8.4,0,0,0,0,0,0,0,0,0,0
252,Dante Pettis,NYG,WR,0.7,8.4,0,0,0,0,0,0,0,0,0,0
253,Ja'Marcus Bradley,CLE,WR,0.7,8.4,0,0,0,0,0,0,0,0,0,0
254,JoJo Natson,CLE,WR,0.7,8.3,0,0,0,0,0,0,0,0,0,0
255,Ashton Dulin,IND,WR,0.7,8.3,0,0,0,0,0,0,0,0,0,0
256,River Cracraft,SF,WR,0.7,8.3,0,0,0,0,0,0,0,0,0,0
257,Justin Hardy,CHI,WR,0.7,8,0,0,0,0,0,0,0,0,0,0
258,Mack Hollins,MIA,WR,0.8,8,0,0,0,0,0,0,0,0,0,0
259,Fred Brown,TEN,WR,0.7,8,0,0,0,0,0,0,0,0,0,0
261,Kevin White,NO,WR,0.7,8,0,0,0,0,0,0,0,0,0,0
260,Tyrie Cleveland,DEN,WR,0.7,8,0,0,0,0,0,0,0,0,0,0
262,Cody Hollister,TEN,WR,0.7,8,0,0,0,0,0,0,0,0,0,0
263,C.J. Board,NYG,WR,0.7,7.7,0,0,0,0,0,0,0,0,0,0
264,Keith Kirkwood,CAR,WR,0.7,7.6,0,0,0,0,0,0,0,0,0,0
265,Jordan Matthews,SF,WR,0.7,7.6,0,0,0,0,0,0,0,0,0,0
137,Hakeem Butler,PHI,TE,0.8,8.4,0,0,0,0,0,0,0,0,0,0
136,Jesper Horsted,CHI,TE,0.8,8.5,0,0,0,0,0,0,0,0,0,0
135,Jason Croom,PHI,TE,0.8,8.5,0,0,0,0,0,0,0,0,0,0
266,Ryan Switzer,CLE,WR,0.8,7.1,0,0,0,0,0,0,0,0,0,0
139,Colin Thompson,CAR,TE,0.7,6.8,0,0,0,0,0,0,0,0,0,0
138,Cole Hikutini,NYG,TE,0.8,7.2,0,0,0,0,0,0,0,0,0,0
175,Tony Jones Jr.,NO,RB,0.2,0.4,0,0,0.9,0.7,0,0,0,0,0,0
35,Chase McLaughlin,CLE,K,0,0,0,0,0,0,0,0,0,0,0,0
77,Ryan Griffin,TB,QB,0,0,0,0,0,0,0,0,0,0,0,0
95,Easton Stick,LAC,QB,0,0,0,0,0,0,0,0,0,0,0,0
94,Joshua Dobbs,PIT,QB,0,0,0,0,0,0,0,0,0,0,0,0
93,Nick Foles,CHI,QB,0,0,0,0,0,0,0,0,0,0,0,0
92,Brett Rypien,DEN,QB,0,0,0,0,0,0,0,0,0,0,0,0
91,Nathan Peterman,LV,QB,0,0,0,0,0,0,0,0,0,0,0,0
90,Josh Johnson,NYJ,QB,0,0,0,0,0,0,0,0,0,0,0,0
89,Will Grier,CAR,QB,0,0,0,0,0,0,0,0,0,0,0,0
88,Nate Sudfeld,SF,QB,0,0,0,0,0,0,0,0,0,0,0,0
87,Kyle Allen,WAS,QB,0,0,0,0,0,0,0,0,0,0,0,0
86,Trevor Siemian,NO,QB,0,0,0,0,0,0,0,0,0,0,0,0
84,Kyle Lauletta,CLE,QB,0,0,0,0,0,0,0,0,0,0,0,0
83,Sean Mannion,SEA,QB,0,0,0,0,0,0,0,0,0,0,0,0
82,Jake Luton,JAC,QB,0,0,0,0,0,0,0,0,0,0,0,0
81,Cooper Rush,DAL,QB,0,0,0,0,0,0,0,0,0,0,0,0
80,Brett Hundley,IND,QB,0,0,0,0,0,0,0,0,0,0,0,0
79,Devlin Hodges,LAR,QB,0,0,0,0,0,0,0,0,0,0,0,0
78,C.J. Beathard,JAC,QB,0,0,0,0,0,0,0,0,0,0,0,0
85,Ben DiNucci,DAL,QB,0,0,0,0,0,0,0,0,0,0,0,0
