,Player,Team,Pos,Receptions,ReceivingYds,ReceivingTD,FL,RushingAtt,RushingYds,RushingTD,PassingAtt,PassingCmp,PassingYds,PassingTD,Int
113,Byron Pringle,KC,WR,22.6,290.2,2,0.2,0,0,0,0,0,0,0,0
37,David Njoku,CLE,TE,23.4,252.8,2.6,0,0,0,0,0,0,0,0,0
114,Quintez Cephus,DET,WR,23.9,316.6,1.5,0.2,0,0,0,0,0,0,0,0
76,Jake Funk,LAR,RB,9.4,75.4,0.3,0.2,44.4,184.8,2.1,0,0,0,0,0
38,Stephen Carlson,CLE,TE,20,218,3,0,0,0,0,0,0,0,0,0
39,Jimmy Graham,CHI,TE,23.2,242.7,2.6,0.1,0,0,0,0,0,0,0,0
77,Trayveon Williams,CIN,RB,14.1,113,0.5,1.5,48,205.3,1.3,0,0,0,0,0
40,Jacob Hollister,BUF,TE,29.1,264,2.3,0.6,0,0,0,0,0,0,0,0
78,Kenneth Gainwell,PHI,RB,11.4,89.5,0.4,1.1,46,210.7,1.4,0,0,0,0,0
115,Damiere Byrd,CHI,WR,26.7,304.7,1.5,0.6,0.3,2,0,0,0,0,0,0
41,Tyler Conklin,MIN,TE,25.4,267.1,2,0.1,0,0,0,0,0,0,0,0
116,Travis Fulgham,PHI,WR,22.4,290.2,1.6,0.1,0,0,0,0,0,0,0,0
79,Samaje Perine,CIN,RB,9.1,61.6,0.2,0.1,50.8,214.7,1.5,0,0,0,0,0
80,Peyton Barber,WAS,RB,5,33,0.1,0.6,59.2,209.5,2.2,0,0,0,0,0
81,Benny Snell Jr.,PIT,RB,6.4,43.4,0.1,0.6,60,222.4,1.8,0,0,0,0,0
117,Scotty Miller,TB,WR,17,244.7,1.8,0.1,1.4,7.7,0.1,0,0,0,0,0
42,Dalton Schultz,DAL,TE,23.4,243.7,2,0.1,0,0,0,0,0,0,0,0
119,Tutu Atwell,LAR,WR,21.3,276.9,1.4,0.2,0,0,0,0,0,0,0,0
118,Isaiah McKenzie,BUF,WR,18.9,200.7,1.9,0.1,5.7,28.5,0.2,0,0,0,0,0
82,Mike Boone,DEN,RB,6.4,43.4,0.1,0.6,47,223.6,1.5,0,0,0,0,0
43,Maxx Williams,ARI,TE,21.3,236,2,0.1,0,0,0,0,0,0,0,0
120,Isaiah Coulter,HOU,WR,18.3,275.6,1.5,1,1,4,0,0,0,0,0,0
121,Auden Tate,CIN,WR,20.7,261.7,1.4,0.1,0,0,0,0,0,0,0,0
83,Javian Hawkins,ATL,RB,4.6,35.4,0.1,0.2,50.3,206.9,1.6,0,0,0,0,0
44,Nick Boyle,BAL,TE,23.2,215.8,2.1,0,0,0,0,0,0,0,0,0
84,Jeff Wilson Jr.,SF,RB,2.5,26.5,0.5,1,39.5,170,2,0,0,0,0,0
85,Matt Breida,BUF,RB,9.6,76.3,0.4,1.1,42.8,189.2,1,0,0,0,0,0
86,Carlos Hyde,JAC,RB,6.3,36.6,0.1,0.6,52.6,213.4,1.4,0,0,0,0,0
87,Brandon Bolden,NE,RB,4.9,48.8,0.6,0,19.4,98.7,2.3,0,0,0,0,0
122,Donovan Peoples-Jones,CLE,WR,17.1,225.6,1.6,0.1,0,0,0,0,0,0,0,0
45,Kyle Rudolph,NYG,TE,23.1,212.2,1.8,0.1,0,0,0,0,0,0,0,0
123,Amari Rodgers,GB,WR,18,221.4,1.3,0.1,2,12.4,0.1,0,0,0,0,0
46,Geoff Swaim,TEN,TE,22.6,211.3,1.7,0.1,0,0,0,0,0,0,0,0
47,Cameron Brate,TB,TE,22,206.1,1.8,0,0,0,0,0,0,0,0,0
48,Drew Sample,CIN,TE,24.6,232,1.4,0.6,0,0,0,0,0,0,0,0
88,Johnny Stanton,CLE,RB,9,70,1,0,20,100,1,0,0,0,0,0
49,James O'Shaughnessy,JAC,TE,23.2,228.7,1,0.1,0,0,0,0,0,0,0,0
50,Darren Fells,DET,TE,18.2,188.5,1.6,0,0,0,0,0,0,0,0,0
89,Larry Rountree III,LAC,RB,4.6,34.9,0.2,0.2,36.8,154.6,1.4,0,0,0,0,0
51,Harrison Bryant,CLE,TE,18.2,196.2,1.8,1.1,0,0,0,0,0,0,0,0
52,Foster Moreau,LV,TE,13.9,152.1,2.1,0.1,0,0,0,0,0,0,0,0
90,Jalen Richard,LV,RB,16.3,129.1,0.5,0.6,23.7,103.6,0.5,0,0,0,0,0
124,Collin Johnson,JAC,WR,17.9,212.9,1.1,0.1,0,0,0,0,0,0,0,0
125,Greg Ward,PHI,WR,21.1,208.9,1.2,0.2,0,0,0,0,0,0,0,0
127,Devin Duvernay,BAL,WR,17,188.1,1.2,0.1,1.7,11.7,0,0,0,0,0,0
126,N'Keal Harry,NE,WR,15.4,187,1.3,0.1,0.9,5.6,0,0,0,0,0,0
128,Bisi Johnson,MIN,WR,16.4,188.2,1.3,0,0,0,0,0,0,0,0,0
91,Brian Hill,TEN,RB,5.3,37.3,0.2,0.2,36,171.2,0.7,0,0,0,0,0
130,Marquise Goodwin,CHI,WR,15,197.9,1,0.1,0,0,0,0,0,0,0,0
129,Dez Fitzpatrick,TEN,WR,15.4,200.3,1,0.1,0,0,0,0,0,0,0,0
53,Pharaoh Brown,HOU,TE,16.5,178.6,1.3,0.1,0,0,0,0,0,0,0,0
131,Freddie Swain,SEA,WR,14,175.7,1.4,0.1,0,0,0,0,0,0,0,0
132,Ty Montgomery,NO,WR,14.8,155.3,1,0.1,8.5,39,0.1,0,0,0,0,0
54,Ryan Izzo,HOU,TE,12.9,212.9,1,1,0,0,0,0,0,0,0,0
92,Kerryon Johnson,PHI,RB,4.1,33.3,0.2,0.2,34,141.6,1.2,0,0,0,0,0
55,Tyler Kroft,NYJ,TE,14.7,149.2,1.7,0.1,0,0,0,0,0,0,0,0
56,Pat Freiermuth,PIT,TE,19.8,178.1,1.3,0.5,0,0,0,0,0,0,0,0
93,Jermar Jefferson,DET,RB,10.6,78.6,0.1,0.1,27.9,113.8,0.8,0,0,0,0,0
57,Adam Shaheen,MIA,TE,15.4,157.2,1.8,1,0,0,0,0,0,0,0,0
58,Hunter Long,MIA,TE,18.6,175.7,1.3,0.5,0,0,0,0,0,0,0,0
59,Albert Okwuegbunam,DEN,TE,15.4,161.2,1.3,0.1,0,0,0,0,0,0,0,0
