,Player,Team,Pos,Receptions,ReceivingYds,ReceivingTD,FL,RushingAtt,RushingYds,RushingTD,PassingYds,PassingTD,Int
77,Tyler Lockett,SEA,WR,92.5,1055.7,8.4,0.7,1.6,5.7,0,0,0,0
78,D.J. Moore,CAR,WR,82.9,1200.6,5.4,0.8,3.1,20.1,0.1,0,0,0
79,Julio Jones,TEN,WR,78.2,1107.3,7.2,0.7,0.5,-0.5,0,0,0,0
80,Cooper Kupp,LAR,WR,93.5,1070.8,7.2,0.7,4,23.8,0.1,0,0,0
81,Chris Godwin,TB,WR,82.3,1077.3,7.4,0.8,0.3,2,0,0,0,0
82,Kareem Hunt,CLE,RB,38.9,317.5,2.5,1.3,154.6,684.4,5.5,0,0,0
83,Courtland Sutton,DEN,WR,74.1,1057.3,6.7,0.8,1.7,9.4,0,0,0,0
84,Tee Higgins,CIN,WR,79.2,1062.4,6.4,0.8,2.3,12.3,0,0,0,0
85,Odell Beckham Jr.,CLE,WR,70.2,985.1,6.6,0.7,5.8,51.7,0.3,0,0,0
86,Kenny Golladay,NYG,WR,70,1046.5,6.6,0.7,0,0,0,0,0,0
87,Brandon Aiyuk,SF,WR,73,929.9,6.4,0.7,13.8,78.2,0.7,0,0,0
88,Ja'Marr Chase,CIN,WR,73.3,1063,6.1,1.2,1.5,8.2,0,0,0,0
89,Travis Etienne,JAC,RB,60.7,484.2,2.7,3,130.6,581.8,4.1,0,0,0
91,Damien Harris,NE,RB,12.6,95.4,0.3,1.4,205.9,963.1,5.7,0,0,0
92,Raheem Mostert,SF,RB,23.8,207.7,1.3,1.4,154.2,768.2,6.1,0,0,0
93,Chase Claypool,PIT,WR,70,900.4,6.9,0.9,8.2,43.9,0.6,0,0,0
94,Teddy Bridgewater,DEN,QB,0,0,0,1.7,31.6,135.9,1.7,2100.8,12.7,9.1
95,Diontae Johnson,PIT,WR,94.7,985.7,6.3,1.4,4.4,27.2,0.1,0,0,0
96,James Robinson,JAC,RB,29.3,209.9,1,1.5,182.7,798.3,5.5,0,0,0
97,D.J. Chark Jr.,JAC,WR,74.5,993.6,6.4,0.6,0.3,3.3,0,0,0,0
98,Brandin Cooks,HOU,WR,73.5,1036.4,5.2,0.7,0.8,6.8,0,0,0,0
99,Javonte Williams,DEN,RB,25.1,194.1,1,2,183.3,814.1,5.2,0,0,0
101,Deebo Samuel,SF,WR,71.8,918.3,4.8,0.8,13,97.2,0.7,0,0,0
102,David Johnson,HOU,RB,35.9,322.5,2.3,1.5,147.8,619.2,4.7,0,0,0
104,Mark Andrews,BAL,TE,69.5,847.9,8.2,0.9,0,0,0,0,0,0
105,Taysom Hill,NO,QB,0,0,0,3.9,75.4,396.5,4.5,1302.9,7.6,4.9
107,Robby Anderson,CAR,WR,80.3,989.8,5.2,0.8,2.5,12.3,0.1,0,0,0
108,Jimmy Garoppolo,SF,QB,0,0,0,1.2,14.9,36.6,0.5,2175.7,13.2,7.1
109,JuJu Smith-Schuster,PIT,WR,90,907.2,6.8,0.9,0,0,0,0,0,0
110,Leonard Fournette,TB,RB,31,212.8,0.8,1.2,165.2,677,6.3,0,0,0
112,Michael Gallup,DAL,WR,63.3,932.1,5.9,0.6,0,0,0,0,0,0
113,Jerry Jeudy,DEN,WR,68.2,975,5.2,0.8,0,0,0,0,0,0
117,Marquise Brown,BAL,WR,61.2,823.2,7.1,0.6,2.5,13,0.1,0,0,0
121,Tyler Boyd,CIN,WR,83.3,925.7,5.3,0.8,2.1,15.6,0,0,0,0
122,Melvin Gordon III,DEN,RB,22.3,143.2,1,2.4,169.4,746,5.7,0,0,0
126,Zack Moss,BUF,RB,24.5,176.7,0.9,1.2,157.4,672.9,5.7,0,0,0
128,Curtis Samuel,WAS,WR,63.3,745.9,4.9,0.7,24.7,129.1,1.1,0,0,0
129,Jarvis Landry,CLE,WR,74.3,899.6,5.1,0.8,2,10.1,0.3,0,0,0
130,Ronald Jones II,TB,RB,17.8,124.4,0.4,1.4,169.2,759.4,5.6,0,0,0
135,Laviska Shenault Jr.,JAC,WR,69.8,769.4,4.9,0.7,20.2,112.3,0.6,0,0,0
136,Kyle Pitts,ATL,TE,69,832.5,6.4,1.2,0,0,0,0,0,0
137,DeVante Parker,MIA,WR,67.1,858.6,5.7,0.7,0,0,0,0,0,0
138,DeVonta Smith,PHI,WR,63.5,910.1,4.9,1.2,1,6.2,0,0,0,0
143,Mike Williams,LAC,WR,53.5,879,5.2,0.6,0.3,0.5,0,0,0,0
147,T.Y. Hilton,IND,WR,62.2,828.2,5.8,0.6,0,0,0,0,0,0
148,Will Fuller V,MIA,WR,66.8,850.8,5.3,0.6,0,0,0,0,0,0
151,Trey Sermon,SF,RB,19.5,159,1,1.8,141.1,641.2,5.2,0,0,0
154,Drew Lock,DEN,QB,0,0,0,2.4,28.2,111.6,1,1787.8,11,7.6
157,T.J. Hockenson,DET,TE,73.8,821.7,5.2,0.8,0,0,0,0,0,0
159,Kenyan Drake,LV,RB,35.1,247.7,0.8,1.4,137.3,571.2,4.6,0,0,0
160,Tyrod Taylor,HOU,QB,0,0,0,1.1,26.8,124.8,1,1700.7,9.2,4.8
161,Corey Davis,NYJ,WR,68.1,885.5,4.1,0.8,0,0,0,0,0,0
162,James Conner,ARI,RB,21.8,151.9,0.7,1.4,140.6,622.9,5.4,0,0,0
165,Gus Edwards,BAL,RB,10.3,88,0.3,1.3,149.9,728.8,4.7,0,0,0
166,Latavius Murray,NO,RB,26.2,188,1,1.2,142.6,606.5,4.1,0,0,0
168,Marvin Jones Jr.,JAC,WR,60.4,768.3,5.4,0.6,0.3,0,0,0,0,0
169,Mecole Hardman,KC,WR,51.8,722.5,5.5,1.7,6.4,43.7,0.1,0,0,0
179,Michael Carter,NYJ,RB,26.7,204.2,0.9,1.8,139.4,586.1,3.9,0,0,0
184,Tyrell Williams,DET,WR,55.9,809.6,4,0.7,0,0,0,0,0,0
187,Antonio Brown,TB,WR,60.3,674.3,6,0.6,2,11.4,0,0,0,0
188,Henry Ruggs III,LV,WR,49.4,759.9,4.1,1.7,7.6,42,0.1,0,0,0
189,Cole Beasley,BUF,WR,66.1,763.7,4.5,0.6,0,0,0,0,0,0
190,Jamaal Williams,DET,RB,35.3,240.2,1.3,1.2,130,526.9,3.3,0,0,0
192,Breshad Perriman,DET,WR,52.7,765.6,3.9,0.1,1.9,11.3,0,0,0,0
195,AJ Dillon,GB,RB,14.5,110.1,0.5,1.4,140.4,633.9,4.4,0,0,0
196,Jaylen Waddle,MIA,WR,56.4,749.1,4.6,1.2,1,5.6,0,0,0,0
197,Dallas Goedert,PHI,TE,63.9,710.3,5.1,0.7,0,0,0,0,0,0
198,Michael Pittman Jr.,IND,WR,56.6,743.9,4,0.7,3.4,22.5,0,0,0,0
201,Jalen Reagor,PHI,WR,54,733.6,3.9,0.7,3.1,17.6,0.1,0,0,0
202,Devin Singletary,BUF,RB,30.5,215.4,1.2,1.3,121,534,3,0,0,0
203,Robert Tonyan,GB,TE,54.6,602,6.2,0.1,0,0,0,0,0,0
204,Darnell Mooney,CHI,WR,61.2,711.8,4.2,0.7,3.3,18.7,0.1,0,0,0
205,Emmanuel Sanders,BUF,WR,56,684.8,4.8,0.6,1.1,6.7,0.1,0,0,0
206,Tony Pollard,DAL,RB,29.8,219.4,1.3,1.2,111.2,497.4,3.2,0,0,0
208,Russell Gage,ATL,WR,66.6,722.1,4,0.6,1.5,6.3,0,0,0,0
209,Nelson Agholor,NE,WR,49.8,708.9,4.3,0.7,0.3,1.3,0,0,0,0
210,Mac Jones,NE,QB,0,0,0,1.2,18.6,68.8,0.9,1541.3,9.1,6.2
211,Tyler Higbee,LAR,TE,58.8,654.4,5.2,0.6,0,0,0,0,0,0
213,Noah Fant,DEN,TE,62.1,692,4.4,0.6,0,0,0,0,0,0
215,Logan Thomas,WAS,TE,62.8,646.5,5,0.6,0,0,0,0,0,0
