",",Player,POS,AVG,Rank
0,Christian McCaffrey,RB,1,1
1,Dalvin Cook,RB,2,2
2,Derrick Henry,RB,3,3
3,Alvin Kamara,RB,4,4
4,Saquon Barkley,RB,5,5
5,Jonathan Taylor,RB,6.7,6
6,Ezekiel Elliott,RB,7,7
7,Nick Chubb,RB,7.3,8
8,Tyreek Hill,WR,9.7,9
9,Travis Kelce,TE,10.7,10
10,Aaron Jones,RB,11.3,11
11,Davante Adams,WR,12.3,12
12,Stefon Diggs,WR,12.7,13
13,Austin Ekeler,RB,14,14
14,DeAndre Hopkins,WR,17,15
15,Antonio Gibson,RB,17,16
16,D.K. Metcalf,WR,19.7,17
17,Patrick Mahomes II,QB,20,18
18,Najee Harris,RB,20,19
19,Joe Mixon,RB,20,20
20,Calvin Ridley,WR,22.3,21
21,A.J. Brown,WR,23.3,22
22,Justin Jefferson,WR,23.7,23
23,George Kittle,TE,25.3,24
24,J.K. Dobbins,RB,25.7,25
25,Clyde Edwards-Helaire,RB,26,26
26,Darren Waller,TE,27.3,27
27,Josh Jacobs,RB,29.3,28
28,Michael Thomas,WR,29.7,29
29,D'Andre Swift,RB,31,30
30,Miles Sanders,RB,31.7,31
31,Keenan Allen,WR,31.7,32
32,Josh Allen,QB,33.7,33
33,Terry McLaurin,WR,34.3,34
34,Chris Carson,RB,35.3,35
35,David Montgomery,RB,35.3,36
36,Allen Robinson II,WR,36,37
37,Mike Evans,WR,39,38
38,Julio Jones,WR,40,39
39,Kyler Murray,QB,43,40
40,CeeDee Lamb,WR,43.7,41
41,Chris Godwin,WR,43.7,42
42,Amari Cooper,WR,44.3,43
43,Myles Gaskin,RB,45,44
44,James Robinson,RB,46.3,45
45,Adam Thielen,WR,46.7,46
46,Robert Woods,WR,48,47
47,Lamar Jackson,QB,48.7,48
48,Kareem Hunt,RB,49,49
49,Mark Andrews,TE,51.3,50
50,Dak Prescott,QB,51.3,51
51,Cooper Kupp,WR,55.7,52
52,T.J. Hockenson,TE,56,53
53,Tyler Lockett,WR,57.3,54
54,Diontae Johnson,WR,57.3,55
55,D.J. Moore,WR,58,56
56,Kenny Golladay,WR,59.7,57
57,Russell Wilson,QB,60.3,58
58,Chase Edmonds,RB,60.7,59
59,Justin Herbert,QB,61,60
60,Mike Davis,RB,61.7,61
61,Raheem Mostert,RB,64.3,62
62,Melvin Gordon III,RB,65.3,63
63,Kyle Pitts,TE,66,64
64,Aaron Rodgers,QB,66,65
65,Odell Beckham Jr.,WR,67.7,66
66,Ronald Jones II,RB,68,67
67,Travis Etienne,RB,70,68
68,Javonte Williams,RB,70.3,69
69,Brandon Aiyuk,WR,71.7,70
70,Chase Claypool,WR,73,71
71,Tee Higgins,WR,76.3,72
72,Tom Brady,QB,76.7,73
73,Leonard Fournette,RB,77.3,74
74,Noah Fant,TE,78.3,75
75,Jalen Hurts,QB,80.7,76
76,Damien Harris,RB,80.7,77
77,JuJu Smith-Schuster,WR,83.3,78
78,David Johnson,RB,84,79
79,D.J. Chark Jr.,WR,84.7,80
80,Ja'Marr Chase,WR,85,81
81,Courtland Sutton,WR,87.3,82
82,Dallas Goedert,TE,88.7,83
83,Deebo Samuel,WR,89,84
84,Robby Anderson,WR,90.7,85
85,AJ Dillon,RB,91.7,86
86,James Conner,RB,92.7,87
87,Matthew Stafford,QB,93.3,88
88,Kenyan Drake,RB,93.7,89
89,Tyler Boyd,WR,94.3,90
90,Michael Carter,RB,95.3,91
91,Will Fuller V,WR,96.7,92
92,Logan Thomas,TE,98.3,94
93,Ryan Tannehill,QB,98.3,95
94,Zack Moss,RB,99,97
95,Jerry Jeudy,WR,99.7,98
96,Joe Burrow,QB,100.3,99
97,DeVonta Smith,WR,101.3,100
98,Brandin Cooks,WR,104.3,101
99,Jarvis Landry,WR,105,102
100,Mike Gesicki,TE,105,103
101,Devin Singletary,RB,108.7,104
102,Rob Gronkowski,TE,109.7,105
103,Curtis Samuel,WR,111.7,107
104,Gus Edwards,RB,112,108
105,Antonio Brown,WR,114.7,110
106,Hunter Henry,TE,117,111
107,Trey Sermon,RB,117,112
108,Tony Pollard,RB,117.3,113
109,Darrell Henderson,RB,120,115
110,Jaylen Waddle,WR,120.3,116
111,Marquise Brown,WR,121,117
112,Nyheim Hines,RB,121,118
113,Michael Pittman Jr.,WR,122.7,120
114,Laviska Shenault Jr.,WR,124,121
115,Matt Ryan,QB,124.3,122
116,Tyler Higbee,TE,125.3,123
117,DeVante Parker,WR,126,125
118,Corey Davis,WR,130,126
119,Jamaal Williams,RB,130.3,127
120,Latavius Murray,RB,130.7,128
121,Trevor Lawrence,QB,133,131
122,Mike Williams,WR,133.3,132
123,Jonnu Smith,TE,137,134
124,Baker Mayfield,QB,137.3,135
125,Michael Gallup,WR,138.3,136
126,Henry Ruggs III,WR,138.3,137
127,T.Y. Hilton,WR,140.3,138
